areaType,areaName,areaCode,date,newCasesByPublishDate,cumCasesByPublishDate
nation,England,E92000001,29/03/2022,64935,17667861
nation,England,E92000001,28/03/2022,183459,17603000
nation,England,E92000001,27/03/2022,0,17419944
nation,England,E92000001,26/03/2022,0,17419944
nation,England,E92000001,25/03/2022,63371,17419944
nation,England,E92000001,24/03/2022,79373,17356644
nation,England,E92000001,23/03/2022,85916,17277446
nation,England,E92000001,22/03/2022,74804,17191749
nation,England,E92000001,21/03/2022,188925,17117061
nation,England,E92000001,20/03/2022,0,16928787
nation,England,E92000001,19/03/2022,0,16928787
nation,England,E92000001,18/03/2022,68492,16928787
nation,England,E92000001,17/03/2022,75681,16860551
nation,England,E92000001,16/03/2022,76366,16785149
nation,England,E92000001,15/03/2022,64313,16709007
nation,England,E92000001,14/03/2022,163954,16644795
nation,England,E92000001,13/03/2022,0,16481364
nation,England,E92000001,12/03/2022,0,16481364
nation,England,E92000001,11/03/2022,55883,16481364
nation,England,E92000001,10/03/2022,52722,16425663
nation,England,E92000001,09/03/2022,51378,16373115
nation,England,E92000001,08/03/2022,44918,16321911
nation,England,E92000001,07/03/2022,95324,16277054
nation,England,E92000001,06/03/2022,0,16182092
nation,England,E92000001,05/03/2022,0,16182092
nation,England,E92000001,04/03/2022,31776,16182092
nation,England,E92000001,03/03/2022,32858,16150464
nation,England,E92000001,02/03/2022,32077,16117745
nation,England,E92000001,01/03/2022,26711,16085841
nation,England,E92000001,28/02/2022,60595,16059214
nation,England,E92000001,27/02/2022,0,15998983
nation,England,E92000001,26/02/2022,0,15998983
nation,England,E92000001,25/02/2022,23526,15998983
nation,England,E92000001,24/02/2022,28193,15975718
nation,England,E92000001,23/02/2022,29703,15947871
nation,England,E92000001,22/02/2022,30080,15918472
nation,England,E92000001,21/02/2022,29753,15888557
nation,England,E92000001,20/02/2022,23831,15859074
nation,England,E92000001,19/02/2022,32230,15835403
nation,England,E92000001,18/02/2022,36900,15803539
nation,England,E92000001,17/02/2022,40376,15767071
nation,England,E92000001,16/02/2022,42756,15727107
nation,England,E92000001,15/02/2022,36471,15684719
nation,England,E92000001,14/02/2022,31943,15648433
nation,England,E92000001,13/02/2022,32316,15616753
nation,England,E92000001,12/02/2022,37791,15584863
nation,England,E92000001,11/02/2022,46736,15547597
nation,England,E92000001,10/02/2022,53993,15501331
nation,England,E92000001,09/02/2022,59193,15447906
nation,England,E92000001,08/02/2022,58453,15389601
nation,England,E92000001,07/02/2022,48601,15331148
nation,England,E92000001,06/02/2022,49533,15282993
nation,England,E92000001,05/02/2022,57377,15234229
nation,England,E92000001,04/02/2022,73185,15177316
nation,England,E92000001,03/02/2022,77189,15106124
nation,England,E92000001,02/02/2022,81446,15028951
nation,England,E92000001,01/02/2022,103353,14948735
nation,England,E92000001,31/01/2022,81720,14845382
nation,England,E92000001,30/01/2022,59559,14023177
nation,England,E92000001,29/01/2022,69137,13963618
nation,England,E92000001,28/01/2022,78711,13895065
nation,England,E92000001,27/01/2022,85288,13817017
nation,England,E92000001,26/01/2022,90587,13732435
nation,England,E92000001,25/01/2022,84302,13642522
nation,England,E92000001,24/01/2022,77232,13558510
nation,England,E92000001,23/01/2022,68913,13482354
nation,England,E92000001,22/01/2022,73331,13413441
nation,England,E92000001,21/01/2022,85902,13341488
nation,England,E92000001,20/01/2022,95974,13255586
nation,England,E92000001,19/01/2022,96545,13160429
nation,England,E92000001,18/01/2022,84987,13064494
nation,England,E92000001,17/01/2022,74249,12979908
nation,England,E92000001,16/01/2022,66273,12906041
nation,England,E92000001,15/01/2022,74576,12840532
nation,England,E92000001,14/01/2022,87857,12766944
nation,England,E92000001,13/01/2022,97770,12680151
nation,England,E92000001,12/01/2022,116173,12585787
nation,England,E92000001,11/01/2022,104833,12469614
nation,England,E92000001,10/01/2022,115998,12370121
nation,England,E92000001,09/01/2022,121228,12254123
nation,England,E92000001,08/01/2022,130330,12132895
nation,England,E92000001,07/01/2022,149405,12008346
nation,England,E92000001,06/01/2022,152306,11858941
nation,England,E92000001,05/01/2022,150232,11706635
nation,England,E92000001,04/01/2022,148725,11557285
nation,England,E92000001,03/01/2022,137541,11408560
nation,England,E92000001,02/01/2022,123547,11272332
nation,England,E92000001,01/01/2022,162572,11151423
nation,England,E92000001,31/12/2021,160276,10988851
nation,England,E92000001,30/12/2021,146604,10828575
nation,England,E92000001,29/12/2021,138287,10683026
nation,England,E92000001,28/12/2021,117093,10545584
nation,England,E92000001,27/12/2021,98515,10429274
nation,England,E92000001,26/12/2021,103558,10332128
nation,England,E92000001,25/12/2021,113628,10229538
nation,England,E92000001,24/12/2021,105069,10115910
nation,England,E92000001,23/12/2021,107055,10011650
nation,England,E92000001,22/12/2021,95795,9905451
nation,England,E92000001,21/12/2021,80916,9810446
nation,England,E92000001,20/12/2021,76065,9731126
nation,England,E92000001,19/12/2021,71702,9655061
nation,England,E92000001,18/12/2021,82426,9584269
nation,England,E92000001,17/12/2021,83693,9503176
nation,England,E92000001,16/12/2021,77299,9420017
nation,England,E92000001,15/12/2021,68868,9343520
nation,England,E92000001,14/12/2021,53093,9275513
nation,England,E92000001,13/12/2021,44931,9222932
nation,England,E92000001,12/12/2021,40713,9178705
nation,England,E92000001,11/12/2021,48540,9138773
nation,England,E92000001,10/12/2021,48908,9092016
nation,England,E92000001,09/12/2021,43550,9043108
nation,England,E92000001,08/12/2021,44019,9000391
nation,England,E92000001,07/12/2021,38866,8957091
nation,England,E92000001,06/12/2021,41525,8918807
nation,England,E92000001,05/12/2021,37396,8877883
nation,England,E92000001,04/12/2021,39949,8841194
nation,England,E92000001,03/12/2021,43888,8802632
nation,England,E92000001,02/12/2021,45880,8758744
nation,England,E92000001,01/12/2021,41519,8713738
nation,England,E92000001,30/11/2021,33590,8673344
nation,England,E92000001,29/11/2021,34906,8639754
nation,England,E92000001,28/11/2021,32136,8605284
nation,England,E92000001,27/11/2021,35798,8574315
nation,England,E92000001,26/11/2021,42272,8538517
nation,England,E92000001,25/11/2021,40382,8496990
nation,England,E92000001,24/11/2021,36511,8457187
nation,England,E92000001,23/11/2021,36550,8421911
nation,England,E92000001,22/11/2021,36478,8385361
nation,England,E92000001,21/11/2021,33513,8349363
nation,England,E92000001,20/11/2021,36339,8316395
nation,England,E92000001,19/11/2021,37006,8281117
nation,England,E92000001,18/11/2021,39315,8244111
nation,England,E92000001,17/11/2021,30638,8205448
nation,England,E92000001,16/11/2021,30853,8175202
nation,England,E92000001,15/11/2021,31440,8144766
nation,England,E92000001,14/11/2021,29404,8113757
nation,England,E92000001,13/11/2021,33493,8084740
nation,England,E92000001,12/11/2021,33155,8051924
nation,England,E92000001,11/11/2021,35472,8020241
nation,England,E92000001,10/11/2021,31541,7984769
nation,England,E92000001,09/11/2021,27872,7953228
nation,England,E92000001,08/11/2021,24979,7925681
nation,England,E92000001,07/11/2021,23779,7901039
nation,England,E92000001,06/11/2021,26250,7877720
nation,England,E92000001,05/11/2021,28490,7852005
nation,England,E92000001,04/11/2021,30166,7823979
nation,England,E92000001,03/11/2021,34317,7794507
nation,England,E92000001,02/11/2021,28531,7760671
nation,England,E92000001,01/11/2021,32081,7732441
nation,England,E92000001,31/10/2021,31479,7700753
nation,England,E92000001,30/10/2021,36204,7669614
nation,England,E92000001,29/10/2021,36853,7633950
nation,England,E92000001,28/10/2021,33903,7597473
nation,England,E92000001,27/10/2021,37502,7564400
nation,England,E92000001,26/10/2021,32280,7526898
nation,England,E92000001,25/10/2021,33309,7494992
nation,England,E92000001,24/10/2021,33221,7462144
nation,England,E92000001,23/10/2021,41259,7430143
nation,England,E92000001,22/10/2021,41745,7388884
nation,England,E92000001,21/10/2021,44363,7347703
nation,England,E92000001,20/10/2021,41498,7303864
nation,England,E92000001,19/10/2021,36712,7262958
nation,England,E92000001,18/10/2021,39473,7226658
nation,England,E92000001,17/10/2021,38543,7187635
nation,England,E92000001,16/10/2021,39624,7149533
nation,England,E92000001,15/10/2021,37691,7110513
nation,England,E92000001,14/10/2021,38488,7073467
nation,England,E92000001,13/10/2021,36458,7035489
nation,England,E92000001,12/10/2021,33287,7000356
nation,England,E92000001,11/10/2021,32349,6967915
nation,England,E92000001,10/10/2021,31096,6936327
nation,England,E92000001,09/10/2021,31259,6906211
nation,England,E92000001,08/10/2021,32157,6876192
nation,England,E92000001,07/10/2021,33305,6845186
nation,England,E92000001,06/10/2021,33450,6812848
nation,England,E92000001,05/10/2021,28846,6780567
nation,England,E92000001,04/10/2021,28251,6752536
nation,England,E92000001,03/10/2021,25176,6725105
nation,England,E92000001,02/10/2021,26794,6700702
nation,England,E92000001,01/10/2021,28836,6674820
nation,England,E92000001,30/09/2021,29826,6646963
nation,England,E92000001,29/09/2021,29036,6617892
nation,England,E92000001,28/09/2021,28808,6590514
nation,England,E92000001,27/09/2021,29329,6561706
nation,England,E92000001,26/09/2021,25538,6532847
nation,England,E92000001,25/09/2021,28087,6507849
nation,England,E92000001,24/09/2021,28199,6481363
nation,England,E92000001,23/09/2021,29045,6453164
nation,England,E92000001,22/09/2021,27317,6425056
nation,England,E92000001,21/09/2021,24973,6398633
nation,England,E92000001,20/09/2021,26905,6374123
nation,England,E92000001,19/09/2021,22173,6347616
nation,England,E92000001,18/09/2021,22956,6326046
nation,England,E92000001,17/09/2021,23265,6303792
nation,England,E92000001,16/09/2021,22949,6281236
nation,England,E92000001,15/09/2021,22078,6258872
nation,England,E92000001,14/09/2021,19739,6237505
nation,England,E92000001,13/09/2021,21077,6218198
nation,England,E92000001,12/09/2021,19913,6197654
nation,England,E92000001,11/09/2021,23825,6178293
nation,England,E92000001,10/09/2021,26653,6155149
nation,England,E92000001,09/09/2021,27049,6129372
nation,England,E92000001,08/09/2021,29286,6102850
nation,England,E92000001,07/09/2021,27545,6074040
nation,England,E92000001,06/09/2021,27202,6046799
nation,England,E92000001,05/09/2021,27022,6019976
nation,England,E92000001,04/09/2021,29614,5993444
nation,England,E92000001,03/09/2021,31726,5964760
nation,England,E92000001,02/09/2021,28686,5933034
nation,England,E92000001,01/09/2021,24723,5904664
nation,England,E92000001,31/08/2021,20967,5880134
nation,England,E92000001,30/08/2021,21324,5859405
nation,England,E92000001,29/08/2021,22501,5838323
nation,England,E92000001,28/08/2021,25118,5816071
nation,England,E92000001,27/08/2021,27545,5791272
nation,England,E92000001,26/08/2021,29417,5764066
nation,England,E92000001,25/08/2021,27350,5734967
nation,England,E92000001,24/08/2021,23474,5707906
nation,England,E92000001,23/08/2021,24158,5684645
nation,England,E92000001,22/08/2021,25952,5660725
nation,England,E92000001,21/08/2021,26982,5635046
nation,England,E92000001,20/08/2021,29576,5608339
nation,England,E92000001,19/08/2021,29762,5579087
nation,England,E92000001,18/08/2021,28648,5549621
nation,England,E92000001,17/08/2021,22712,5521231
nation,England,E92000001,16/08/2021,23171,5498742
nation,England,E92000001,15/08/2021,22859,5475833
nation,England,E92000001,14/08/2021,26700,5453294
nation,England,E92000001,13/08/2021,28679,5426971
nation,England,E92000001,12/08/2021,28093,5398629
nation,England,E92000001,11/08/2021,26647,5370904
nation,England,E92000001,10/08/2021,20630,5344609
nation,England,E92000001,09/08/2021,21915,5324191
nation,England,E92000001,08/08/2021,24196,5302555
nation,England,E92000001,07/08/2021,25877,5278675
nation,England,E92000001,06/08/2021,28321,5253181
nation,England,E92000001,05/08/2021,26512,5225224
nation,England,E92000001,04/08/2021,26393,5199102
nation,England,E92000001,03/08/2021,19012,5173082
nation,England,E92000001,02/08/2021,19175,5154292
nation,England,E92000001,01/08/2021,21645,5135378
nation,England,E92000001,31/07/2021,23949,5114064
nation,England,E92000001,30/07/2021,26241,5090505
nation,England,E92000001,29/07/2021,27524,5064671
nation,England,E92000001,28/07/2021,24367,5037630
nation,England,E92000001,27/07/2021,20290,5013664
nation,England,E92000001,26/07/2021,22181,4993657
nation,England,E92000001,25/07/2021,25434,4972040
nation,England,E92000001,24/07/2021,28968,4947127
nation,England,E92000001,23/07/2021,32792,4918669
nation,England,E92000001,22/07/2021,35939,4886612
nation,England,E92000001,21/07/2021,39504,4851264
nation,England,E92000001,20/07/2021,43261,4812460
nation,England,E92000001,19/07/2021,34657,4769632
nation,England,E92000001,18/07/2021,44777,4735387
nation,England,E92000001,17/07/2021,50955,4691172
nation,England,E92000001,16/07/2021,47360,4640922
nation,England,E92000001,15/07/2021,44523,4594159
nation,England,E92000001,14/07/2021,37895,4550298
nation,England,E92000001,13/07/2021,32883,4512957
nation,England,E92000001,12/07/2021,30619,4480518
nation,England,E92000001,11/07/2021,28421,4450372
nation,England,E92000001,10/07/2021,29732,4422370
nation,England,E92000001,09/07/2021,31231,4393205
nation,England,E92000001,08/07/2021,28421,4362481
nation,England,E92000001,07/07/2021,27516,4334634
nation,England,E92000001,06/07/2021,25295,4307618
nation,England,E92000001,05/07/2021,23286,4282762
nation,England,E92000001,04/07/2021,20454,4259710
nation,England,E92000001,03/07/2021,21317,4239686
nation,England,E92000001,02/07/2021,22393,4218807
nation,England,E92000001,01/07/2021,22948,4196833
nation,England,E92000001,30/06/2021,21293,4174318
nation,England,E92000001,29/06/2021,16802,4153487
nation,England,E92000001,28/06/2021,18702,4136940
nation,England,E92000001,27/06/2021,11560,4118462
nation,England,E92000001,26/06/2021,15136,4107155
nation,England,E92000001,25/06/2021,13498,4092346
nation,England,E92000001,24/06/2021,13068,4079362
nation,England,E92000001,23/06/2021,12765,4066294
nation,England,E92000001,22/06/2021,9096,4053782
nation,England,E92000001,21/06/2021,8766,4044830
nation,England,E92000001,20/06/2021,7778,4036230
nation,England,E92000001,19/06/2021,8954,4028664
nation,England,E92000001,18/06/2021,9185,4019956
nation,England,E92000001,17/06/2021,9371,4010977
nation,England,E92000001,16/06/2021,7642,4001803
nation,England,E92000001,15/06/2021,6486,3994408
nation,England,E92000001,14/06/2021,6647,3988008
nation,England,E92000001,13/06/2021,6269,3981497
nation,England,E92000001,12/06/2021,6601,3975399
nation,England,E92000001,11/06/2021,6782,3968986
nation,England,E92000001,10/06/2021,6436,3962371
nation,England,E92000001,09/06/2021,6201,3956096
nation,England,E92000001,08/06/2021,5250,3950123
nation,England,E92000001,07/06/2021,4913,3944955
nation,England,E92000001,06/06/2021,4405,3940141
nation,England,E92000001,05/06/2021,4810,3935854
nation,England,E92000001,04/06/2021,5102,3931158
nation,England,E92000001,03/06/2021,4310,3926154
nation,England,E92000001,02/06/2021,3486,3921939
nation,England,E92000001,01/06/2021,2539,3918522
nation,England,E92000001,31/05/2021,2854,3916049
nation,England,E92000001,30/05/2021,2621,3913295
nation,England,E92000001,29/05/2021,2747,3910803
nation,England,E92000001,28/05/2021,3434,3908214
nation,England,E92000001,27/05/2021,2936,3904934
nation,England,E92000001,26/05/2021,2540,3902160
nation,England,E92000001,25/05/2021,2081,3899813
nation,England,E92000001,24/05/2021,1972,3897815
nation,England,E92000001,23/05/2021,1734,3895920
nation,England,E92000001,22/05/2021,2242,3894329
nation,England,E92000001,21/05/2021,2303,3892258
nation,England,E92000001,20/05/2021,2307,3890081
nation,England,E92000001,19/05/2021,2151,3887954
nation,England,E92000001,18/05/2021,2008,3886364
nation,England,E92000001,17/05/2021,1645,3889132
nation,England,E92000001,16/05/2021,1471,3887487
nation,England,E92000001,15/05/2021,1614,3886016
nation,England,E92000001,14/05/2021,1828,3884402
nation,England,E92000001,13/05/2021,2229,3882574
nation,England,E92000001,12/05/2021,1804,3880345
nation,England,E92000001,11/05/2021,2117,3878541
nation,England,E92000001,10/05/2021,2009,3876424
nation,England,E92000001,09/05/2021,1418,3874415
nation,England,E92000001,08/05/2021,1742,3872997
nation,England,E92000001,07/05/2021,2142,3871255
nation,England,E92000001,06/05/2021,2194,3869113
nation,England,E92000001,05/05/2021,1906,3866919
nation,England,E92000001,04/05/2021,1659,3865013
nation,England,E92000001,03/05/2021,1453,3863354
nation,England,E92000001,02/05/2021,1377,3861901
nation,England,E92000001,01/05/2021,1642,3860524
nation,England,E92000001,30/04/2021,2046,3858882
nation,England,E92000001,29/04/2021,2103,3856836
nation,England,E92000001,28/04/2021,1829,3854733
nation,England,E92000001,27/04/2021,2410,3852904
nation,England,E92000001,26/04/2021,1752,3850494
nation,England,E92000001,25/04/2021,1401,3848742
nation,England,E92000001,24/04/2021,1804,3847341
nation,England,E92000001,23/04/2021,2277,3845537
nation,England,E92000001,22/04/2021,2315,3843260
nation,England,E92000001,21/04/2021,1943,3840945
nation,England,E92000001,20/04/2021,2169,3839002
nation,England,E92000001,19/04/2021,2550,3836833
nation,England,E92000001,18/04/2021,1495,3834283
nation,England,E92000001,17/04/2021,1897,3832788
nation,England,E92000001,16/04/2021,2225,3830891
nation,England,E92000001,15/04/2021,2171,3828666
nation,England,E92000001,14/04/2021,2054,3826495
nation,England,E92000001,13/04/2021,2070,3824441
nation,England,E92000001,12/04/2021,3222,3822371
nation,England,E92000001,11/04/2021,1338,3819149
nation,England,E92000001,10/04/2021,2032,3817811
nation,England,E92000001,09/04/2021,2638,3815779
nation,England,E92000001,08/04/2021,2486,3821151
nation,England,E92000001,07/04/2021,2304,3818665
nation,England,E92000001,06/04/2021,1937,3816361
nation,England,E92000001,05/04/2021,2236,3814424
nation,England,E92000001,04/04/2021,1954,3812188
nation,England,E92000001,03/04/2021,2847,3810234
nation,England,E92000001,02/04/2021,2881,3807387
nation,England,E92000001,01/04/2021,3784,3804506
nation,England,E92000001,31/03/2021,3327,3800722
nation,England,E92000001,30/03/2021,3384,3797395
nation,England,E92000001,29/03/2021,4112,3794011
nation,England,E92000001,28/03/2021,3153,3789899
nation,England,E92000001,27/03/2021,3813,3786746
nation,England,E92000001,26/03/2021,5273,3783783
nation,England,E92000001,25/03/2021,5286,3778510
nation,England,E92000001,24/03/2021,4615,3773224
nation,England,E92000001,23/03/2021,4583,3768609
nation,England,E92000001,22/03/2021,4746,3764026
nation,England,E92000001,21/03/2021,4459,3759280
nation,England,E92000001,20/03/2021,4732,3754821
nation,England,E92000001,19/03/2021,3809,3750089
nation,England,E92000001,18/03/2021,5213,3746280
nation,England,E92000001,17/03/2021,4827,3741067
nation,England,E92000001,16/03/2021,4391,3736240
nation,England,E92000001,15/03/2021,4264,3731849
nation,England,E92000001,14/03/2021,3774,3727585
nation,England,E92000001,13/03/2021,4539,3723811
nation,England,E92000001,12/03/2021,5529,3719272
nation,England,E92000001,11/03/2021,5744,3713743
nation,England,E92000001,10/03/2021,4863,3707999
nation,England,E92000001,09/03/2021,4894,3703136
nation,England,E92000001,08/03/2021,3903,3698242
nation,England,E92000001,07/03/2021,4497,3694339
nation,England,E92000001,06/03/2021,5118,3689842
nation,England,E92000001,05/03/2021,5053,3684724
nation,England,E92000001,04/03/2021,5643,3679671
nation,England,E92000001,03/03/2021,5408,3674028
nation,England,E92000001,02/03/2021,5530,3668620
nation,England,E92000001,01/03/2021,4738,3663090
nation,England,E92000001,28/02/2021,5080,3658352
nation,England,E92000001,27/02/2021,6527,3653272
nation,England,E92000001,26/02/2021,7393,3646745
