Contents,,,,,,,,,,,,,,,,,,,,,,
Table 1a,,,,,,,,,,,,,,,,,,,,,,
"Official reported estimates of the percentage of the population testing positive for COVID-19, England",,,,,,,,,,,,,,,,,,,,,,
27 April 2020 to 19 March 2022,,,,,,,,,,,,,,,,,,,,,,
Time period,Estimated average % of the population testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval, Estimated average number of people testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,Estimated average ratio of the population testing positive for COVID-19,95% Lower confidence/credible interval,95% Upper confidence/credible interval,,,,,,,,,,,,,
Fortnightly weighted estimates,,,,,,,,,,,,,,,,,,,,,,
27 April 2020 to 10 May 2020,0.27,0.17,0.41,"148,000","94,000","222,000",1 in 370,1 in 590,1 in 240,,,,,,,,,,,,,
04 May 2020 to 17 May 2020,0.25,0.16,0.38,"137,000","85,000","208,000",1 in 400,1 in 630,1 in 260,,,,,,,,,,,,,
11 May 2020 to 24 May 2020,0.24,0.11,0.46,"133,000","62,000","250,000",1 in 420,1 in 910,1 in 220,,,,,,,,,,,,,
17 May 2020 to 30 May 2020,0.10,0.05,0.18,"53,000","25,000","99,000","1 in 1,000","1 in 2,000",1 in 560,,,,,,,,,,,,,
25 May 2020 to 07 June 2020,0.06,0.02,0.12,"33,000","14,000","68,000","1 in 1,700","1 in 5,000",1 in 830,,,,,,,,,,,,,
31 May 2020 to 13 June 2020,0.06,0.02,0.13,"33,000","12,000","74,000","1 in 1,700","1 in 5,000",1 in 770,,,,,,,,,,,,,
08 June 2020 to 21 June 2020,0.09,0.04,0.19,"51,000","21,000","105,000","1 in 1,100","1 in 2,500",1 in 530,,,,,,,,,,,,,
14 June 2020 to 27 June 2020,0.04,0.02,0.08,"25,000","12,000","44,000","1 in 2,500","1 in 5,000","1 in 1,300",,,,,,,,,,,,,
22 June 2020 to 05 July 2020,0.03,0.01,0.06,"14,000","5,000","31,000","1 in 3,300","1 in 10,000","1 in 1,700",,,,,,,,,,,,,
"Change to use of modelling for headline estimates, based on midpoint of week. Headline figures not comparable to previous estimates",,,,,,,,,,,,,,,,,,,,,,
06 July 2020 to 12 July 2020,0.04,0.03,0.06,"23,600","15,300","33,900","1 in 2,500","1 in 3,300","1 in 1,700",,,,,,,,,,,,,
13 July 2020 to 19 July 2020,0.05,0.03,0.07,"27,700","18,500","39,900","1 in 2,000","1 in 3,300","1 in 1,400",,,,,,,,,,,,,
20 July 2020 to 26 July 2020,0.07,0.04,0.10,"35,700","23,700","53,200","1 in 1,400","1 in 2,500","1 in 1,000",,,,,,,,,,,,,
27 July 2020 to 02 August 2020,0.05,0.03,0.07,"28,300","18,900","40,800","1 in 2,000","1 in 3,300","1 in 1,400",,,,,,,,,,,,,
03 August 2020 to 09 August 2020,0.05,0.03,0.07,"28,300","19,000","40,700","1 in 2,000","1 in 3,300","1 in 1,400",,,,,,,,,,,,,
07 August 2020 to 13 August 2020,0.05,0.03,0.06,"24,600","16,900","33,800","1 in 2,200","1 in 3,400","1 in 1,600",,,,,,,,,,,,,
14 August 2020 to 20 August 2020,0.05,0.04,0.07,"28,200","20,100","37,900","1 in 1,900","1 in 2,800","1 in 1,300",,,,,,,,,,,,,
19 August 2020 to 25 August 2020,0.05,0.04,0.07,"27,100","19,300","36,700","1 in 2,000","1 in 2,800","1 in 1,500",,,,,,,,,,,,,
30 August 2020 to 05 September 2020,0.07,0.05,0.10,"39,700","29,300","52,700","1 in 1,400","1 in 1,900","1 in 1,000",,,,,,,,,,,,,
04 September 2020 to 10 September 2020,0.11,0.09,0.14,"59,800","46,900","75,200",1 in 910,"1 in 1,200",1 in 730,,,,,,,,,,,,,
13 September 2020 to 19 September 2020,0.19,0.16,0.23,"103,600","85,600","123,400",1 in 530,1 in 640,1 in 440,,,,,,,,,,,,,
18 September 2020 to 24 September 2020,0.21,0.18,0.24,"116,600","101,000","133,100",1 in 470,1 in 540,1 in 410,,,,,,,,,,,,,
25 September 2020 to 01 October 2020,0.41,0.37,0.45,"224,400","203,800","245,700",1 in 240,1 in 270,1 in 220,,,,,,,,,,,,,
02 October 2020 to 08 October 2020,0.62,0.57,0.66,"336,500","312,200","362,000",1 in 160,1 in 170,1 in 150,,,,,,,,,,,,,
10 October 2020 to 16 October 2020,0.79,0.75,0.84,"433,300","407,500","459,300",1 in 130,1 in 130,1 in 120,,,,,,,,,,,,,
17 October 2020 to 23 October 2020,1.04,0.98,1.10,"568,100","536,500","600,400",1 in 95,1 in 100,1 in 90,,,,,,,,,,,,,
25 October 2020 to 31 October 2020,1.13,1.07,1.20,"618,700","583,100","655,000",1 in 90,1 in 95,1 in 85,,,,,,,,,,,,,
31 October 2020 to 06 November 2020,1.20,1.14,1.27,"654,000","619,400","689,800",1 in 85,1 in 90,1 in 80,,,,,,,,,,,,,
08 November 2020 to 14 November 2020,1.22,1.15,1.29,"664,700","628,300","701,200",1 in 80,1 in 85,1 in 80,,,,,,,,,,,,,
15 November 2020 to 21 November 2020,1.16,1.10,1.23,"633,000","599,200","668,200",1 in 85,1 in 90,1 in 80,,,,,,,,,,,,,
22 November 2020 to 28 November 2020,0.96,0.90,1.01,"521,300","490,600","552,600",1 in 100,1 in 110,1 in 100,,,,,,,,,,,,,
29 November 2020 to 05 December 2020,0.88,0.83,0.94,"481,500","450,800","513,600",1 in 110,1 in 120,1 in 110,,,,,,,,,,,,,
06 December 2020 to 12 December 2020,1.04,0.98,1.10,"567,300","533,600","602,300",1 in 95,1 in 100,1 in 90,,,,,,,,,,,,,
12 December 2020 to 18 December 2020,1.18,1.12,1.25,"645,800","610,100","683,100",1 in 85,1 in 90,1 in 80,,,,,,,,,,,,,
17 December 2020 to 23 December 2020,1.47,1.40,1.54,"800,900","761,000","841,600",1 in 70,1 in 70,1 in 65,,,,,,,,,,,,,
